"Step","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX"
"96","0.01","0.01","0.01","0.76","0.76","0.76","0.92","0.92","0.92","0.91","0.91","0.91","0.02","0.02","0.02","0.43","0.43","0.43","0.66","0.66","0.66","0.85","0.85","0.85"
"102","0.02","0.02","0.02","0.76","0.76","0.76","0.91","0.91","0.91","0.93","0.93","0.93","0.01","0.01","0.01","0.47","0.47","0.47","0.73","0.73","0.73","0.86","0.86","0.86"
"108","0.02","0.02","0.02","0.72","0.72","0.72","0.94","0.94","0.94","0.95","0.95","0.95","0.02","0.02","0.02","0.57","0.57","0.57","0.72","0.72","0.72","0.84","0.84","0.84"
"114","0","0","0","0.89","0.89","0.89","0.99","0.99","0.99","0.93","0.93","0.93","0","0","0","0.56","0.56","0.56","0.71","0.71","0.71","0.83","0.83","0.83"
"120","0.03","0.03","0.03","0.89","0.89","0.89","0.97","0.97","0.97","0.94","0.94","0.94","0.02","0.02","0.02","0.58","0.58","0.58","0.86","0.86","0.86","0.93","0.93","0.93"
"126","0","0","0","0.92","0.92","0.92","0.96","0.96","0.96","0.97","0.97","0.97","0.02","0.02","0.02","0.79","0.79","0.79","0.78","0.78","0.78","0.94","0.94","0.94"
"132","0","0","0","0.92","0.92","0.92","0.98","0.98","0.98","0.96","0.96","0.96","0.01","0.01","0.01","0.71","0.71","0.71","0.87","0.87","0.87","0.86","0.86","0.86"
"138","0","0","0","0.91","0.91","0.91","0.95","0.95","0.95","0.96","0.96","0.96","0","0","0","0.76","0.76","0.76","0.84","0.84","0.84","0.9","0.9","0.9"
"144","0.02","0.02","0.02","0.82","0.82","0.82","0.93","0.93","0.93","0.97","0.97","0.97","0.02","0.02","0.02","0.72","0.72","0.72","0.87","0.87","0.87","0.96","0.96","0.96"
"150","0.02","0.02","0.02","0.85","0.85","0.85","0.97","0.97","0.97","0.86","0.86","0.86","0.01","0.01","0.01","0.7","0.7","0.7","0.88","0.88","0.88","0.96","0.96","0.96"
"156","0.09","0.09","0.09","0.82","0.82","0.82","0.9","0.9","0.9","0.96","0.96","0.96","0.03","0.03","0.03","0.7","0.7","0.7","0.89","0.89","0.89","0.96","0.96","0.96"
"162","0.03","0.03","0.03","0.87","0.87","0.87","0.93","0.93","0.93","0.91","0.91","0.91","0.01","0.01","0.01","0.68","0.68","0.68","0.91","0.91","0.91","0.95","0.95","0.95"
"168","0.01","0.01","0.01","0.93","0.93","0.93","0.94","0.94","0.94","0.9","0.9","0.9","0","0","0","0.77","0.77","0.77","0.86","0.86","0.86","0.96","0.96","0.96"
"174","0.03","0.03","0.03","0.76","0.76","0.76","0.94","0.94","0.94","0.91","0.91","0.91","0","0","0","0.75","0.75","0.75","0.9","0.9","0.9","0.88","0.88","0.88"
"180","0.04","0.04","0.04","0.8","0.8","0.8","0.97","0.97","0.97","0.93","0.93","0.93","0.01","0.01","0.01","0.82","0.82","0.82","0.9","0.9","0.9","0.91","0.91","0.91"
"186","0.08","0.08","0.08","0.86","0.86","0.86","0.99","0.99","0.99","0.98","0.98","0.98","0.01","0.01","0.01","0.85","0.85","0.85","0.94","0.94","0.94","0.93","0.93","0.93"
"192","0.06","0.06","0.06","0.93","0.93","0.93","0.97","0.97","0.97","0.97","0.97","0.97","0.01","0.01","0.01","0.83","0.83","0.83","0.95","0.95","0.95","0.98","0.98","0.98"
"198","0.01","0.01","0.01","0.93","0.93","0.93","0.97","0.97","0.97","0.97","0.97","0.97","0.02","0.02","0.02","0.92","0.92","0.92","0.88","0.88","0.88","0.93","0.93","0.93"
"204","0.04","0.04","0.04","0.93","0.93","0.93","0.92","0.92","0.92","1","1","1","0.01","0.01","0.01","0.79","0.79","0.79","0.92","0.92","0.92","0.96","0.96","0.96"
"210","0.01","0.01","0.01","0.96","0.96","0.96","0.97","0.97","0.97","0.99","0.99","0.99","0","0","0","0.85","0.85","0.85","0.92","0.92","0.92","0.96","0.96","0.96"
"216","0.01","0.01","0.01","0.95","0.95","0.95","0.94","0.94","0.94","0.99","0.99","0.99","0.04","0.04","0.04","0.92","0.92","0.92","0.95","0.95","0.95","0.98","0.98","0.98"
"222","0.09","0.09","0.09","0.96","0.96","0.96","0.96","0.96","0.96","0.94","0.94","0.94","0.01","0.01","0.01","0.92","0.92","0.92","0.9","0.9","0.9","0.96","0.96","0.96"
"228","0.05","0.05","0.05","0.92","0.92","0.92","0.99","0.99","0.99","0.99","0.99","0.99","0.05","0.05","0.05","0.9","0.9","0.9","0.94","0.94","0.94","1","1","1"
"234","0.04","0.04","0.04","0.99","0.99","0.99","0.92","0.92","0.92","0.94","0.94","0.94","0.06","0.06","0.06","0.92","0.92","0.92","0.86","0.86","0.86","0.91","0.91","0.91"
"240","0.05","0.05","0.05","0.97","0.97","0.97","0.95","0.95","0.95","0.98","0.98","0.98","0.05","0.05","0.05","0.87","0.87","0.87","0.95","0.95","0.95","0.95","0.95","0.95"
"246","0.09","0.09","0.09","1","1","1","0.98","0.98","0.98","0.98","0.98","0.98","0.06","0.06","0.06","0.84","0.84","0.84","0.93","0.93","0.93","0.97","0.97","0.97"
"252","0.06","0.06","0.06","0.97","0.97","0.97","0.98","0.98","0.98","0.99","0.99","0.99","0.07","0.07","0.07","0.88","0.88","0.88","1","1","1","0.96","0.96","0.96"
"258","0.12","0.12","0.12","0.99","0.99","0.99","0.99","0.99","0.99","0.97","0.97","0.97","0.06","0.06","0.06","0.91","0.91","0.91","0.92","0.92","0.92","0.93","0.93","0.93"
"264","0.08","0.08","0.08","0.98","0.98","0.98","0.92","0.92","0.92","0.98","0.98","0.98","0.06","0.06","0.06","0.84","0.84","0.84","0.92","0.92","0.92","0.97","0.97","0.97"
"270","0.05","0.05","0.05","0.97","0.97","0.97","0.99","0.99","0.99","0.99","0.99","0.99","0.08","0.08","0.08","0.97","0.97","0.97","0.97","0.97","0.97","0.97","0.97","0.97"
"276","0.14","0.14","0.14","0.99","0.99","0.99","0.96","0.96","0.96","1","1","1","0.13","0.13","0.13","0.87","0.87","0.87","0.98","0.98","0.98","0.96","0.96","0.96"
"282","0.14","0.14","0.14","0.96","0.96","0.96","0.99","0.99","0.99","1","1","1","0.08","0.08","0.08","0.89","0.89","0.89","0.95","0.95","0.95","0.94","0.94","0.94"
"288","0.16","0.16","0.16","0.96","0.96","0.96","0.97","0.97","0.97","0.97","0.97","0.97","0.14","0.14","0.14","0.96","0.96","0.96","0.96","0.96","0.96","0.92","0.92","0.92"
"294","0.15","0.15","0.15","0.97","0.97","0.97","0.95","0.95","0.95","0.99","0.99","0.99","0.14","0.14","0.14","0.92","0.92","0.92","0.95","0.95","0.95","0.92","0.92","0.92"
"300","0.17","0.17","0.17","0.97","0.97","0.97","0.96","0.96","0.96","1","1","1","0.11","0.11","0.11","0.97","0.97","0.97","0.98","0.98","0.98","0.95","0.95","0.95"
"306","0.24","0.24","0.24","0.98","0.98","0.98","0.94","0.94","0.94","1","1","1","0.13","0.13","0.13","0.93","0.93","0.93","0.95","0.95","0.95","0.98","0.98","0.98"
"312","0.24","0.24","0.24","0.97","0.97","0.97","0.96","0.96","0.96","0.99","0.99","0.99","0.09","0.09","0.09","0.92","0.92","0.92","0.97","0.97","0.97","0.99","0.99","0.99"
"318","0.24","0.24","0.24","1","1","1","0.98","0.98","0.98","1","1","1","0.11","0.11","0.11","0.95","0.95","0.95","0.97","0.97","0.97","0.96","0.96","0.96"
"324","0.14","0.14","0.14","1","1","1","0.95","0.95","0.95","1","1","1","0.06","0.06","0.06","0.96","0.96","0.96","0.97","0.97","0.97","1","1","1"
"330","0.18","0.18","0.18","1","1","1","0.93","0.93","0.93","0.98","0.98","0.98","0.2","0.2","0.2","0.95","0.95","0.95","0.94","0.94","0.94","0.99","0.99","0.99"
"336","0.23","0.23","0.23","0.98","0.98","0.98","0.97","0.97","0.97","0.99","0.99","0.99","0.17","0.17","0.17","0.83","0.83","0.83","0.98","0.98","0.98","0.98","0.98","0.98"
"342","0.25","0.25","0.25","0.99","0.99","0.99","1","1","1","0.99","0.99","0.99","0.25","0.25","0.25","0.92","0.92","0.92","0.93","0.93","0.93","0.97","0.97","0.97"
"348","0.25","0.25","0.25","0.97","0.97","0.97","1","1","1","1","1","1","0.29","0.29","0.29","0.92","0.92","0.92","0.88","0.88","0.88","0.99","0.99","0.99"
"354","0.25","0.25","0.25","0.99","0.99","0.99","0.99","0.99","0.99","1","1","1","0.33","0.33","0.33","0.97","0.97","0.97","0.98","0.98","0.98","0.99","0.99","0.99"
"360","0.43","0.43","0.43","1","1","1","1","1","1","1","1","1","0.3","0.3","0.3","0.95","0.95","0.95","1","1","1","0.98","0.98","0.98"
"366","0.4","0.4","0.4","0.98","0.98","0.98","1","1","1","1","1","1","0.26","0.26","0.26","0.99","0.99","0.99","0.97","0.97","0.97","0.98","0.98","0.98"
"372","0.41","0.41","0.41","0.96","0.96","0.96","1","1","1","1","1","1","0.39","0.39","0.39","0.98","0.98","0.98","0.98","0.98","0.98","1","1","1"
"378","0.42","0.42","0.42","0.96","0.96","0.96","1","1","1","1","1","1","0.26","0.26","0.26","0.99","0.99","0.99","0.97","0.97","0.97","1","1","1"
"384","0.41","0.41","0.41","0.96","0.96","0.96","1","1","1","1","1","1","0.3","0.3","0.3","0.99","0.99","0.99","0.96","0.96","0.96","1","1","1"
"390","0.45","0.45","0.45","0.97","0.97","0.97","1","1","1","1","1","1","0.36","0.36","0.36","0.93","0.93","0.93","0.98","0.98","0.98","1","1","1"
"396","0.41","0.41","0.41","0.97","0.97","0.97","1","1","1","1","1","1","0.33","0.33","0.33","0.95","0.95","0.95","0.99","0.99","0.99","0.98","0.98","0.98"
"402","0.5","0.5","0.5","0.96","0.96","0.96","1","1","1","1","1","1","0.42","0.42","0.42","0.99","0.99","0.99","0.96","0.96","0.96","0.97","0.97","0.97"
"408","0.38","0.38","0.38","0.99","0.99","0.99","1","1","1","1","1","1","0.39","0.39","0.39","0.95","0.95","0.95","0.98","0.98","0.98","0.99","0.99","0.99"
"414","0.44","0.44","0.44","0.98","0.98","0.98","1","1","1","1","1","1","0.4","0.4","0.4","1","1","1","0.97","0.97","0.97","1","1","1"
"420","0.42","0.42","0.42","0.98","0.98","0.98","0.98","0.98","0.98","1","1","1","0.4","0.4","0.4","0.99","0.99","0.99","0.96","0.96","0.96","0.98","0.98","0.98"
"426","0.44","0.44","0.44","0.97","0.97","0.97","0.99","0.99","0.99","1","1","1","0.46","0.46","0.46","0.89","0.89","0.89","0.98","0.98","0.98","0.99","0.99","0.99"
"432","0.45","0.45","0.45","1","1","1","0.97","0.97","0.97","1","1","1","0.44","0.44","0.44","0.89","0.89","0.89","1","1","1","0.98","0.98","0.98"
"438","0.63","0.63","0.63","0.99","0.99","0.99","0.99","0.99","0.99","1","1","1","0.43","0.43","0.43","0.97","0.97","0.97","0.97","0.97","0.97","1","1","1"
"444","0.42","0.42","0.42","0.99","0.99","0.99","1","1","1","1","1","1","0.42","0.42","0.42","0.92","0.92","0.92","0.98","0.98","0.98","1","1","1"
"450","0.66","0.66","0.66","0.98","0.98","0.98","0.99","0.99","0.99","1","1","1","0.54","0.54","0.54","0.91","0.91","0.91","0.95","0.95","0.95","1","1","1"
"456","0.66","0.66","0.66","0.98","0.98","0.98","0.95","0.95","0.95","1","1","1","0.61","0.61","0.61","0.96","0.96","0.96","0.97","0.97","0.97","1","1","1"
"462","0.58","0.58","0.58","1","1","1","0.97","0.97","0.97","1","1","1","0.57","0.57","0.57","0.97","0.97","0.97","0.99","0.99","0.99","1","1","1"
"468","0.68","0.68","0.68","0.98","0.98","0.98","0.96","0.96","0.96","1","1","1","0.48","0.48","0.48","0.99","0.99","0.99","0.97","0.97","0.97","1","1","1"
"474","0.59","0.59","0.59","1","1","1","0.99","0.99","0.99","0.99","0.99","0.99","0.56","0.56","0.56","0.93","0.93","0.93","0.99","0.99","0.99","1","1","1"
"480","0.46","0.46","0.46","1","1","1","0.99","0.99","0.99","1","1","1","0.59","0.59","0.59","0.97","0.97","0.97","0.96","0.96","0.96","1","1","1"
"486","0.72","0.72","0.72","1","1","1","1","1","1","1","1","1","0.49","0.49","0.49","0.99","0.99","0.99","0.98","0.98","0.98","1","1","1"
"492","0.72","0.72","0.72","0.88","0.88","0.88","0.98","0.98","0.98","1","1","1","0.62","0.62","0.62","0.98","0.98","0.98","0.99","0.99","0.99","1","1","1"
"498","0.77","0.77","0.77","0.92","0.92","0.92","0.99","0.99","0.99","1","1","1","0.57","0.57","0.57","0.99","0.99","0.99","0.97","0.97","0.97","1","1","1"
"504","0.55","0.55","0.55","0.96","0.96","0.96","0.98","0.98","0.98","1","1","1","0.64","0.64","0.64","1","1","1","1","1","1","0.99","0.99","0.99"
"510","0.57","0.57","0.57","0.92","0.92","0.92","0.99","0.99","0.99","1","1","1","0.54","0.54","0.54","1","1","1","0.96","0.96","0.96","0.99","0.99","0.99"
"516","0.62","0.62","0.62","0.84","0.84","0.84","1","1","1","1","1","1","0.72","0.72","0.72","0.98","0.98","0.98","1","1","1","1","1","1"
"522","0.76","0.76","0.76","0.92","0.92","0.92","0.95","0.95","0.95","1","1","1","0.56","0.56","0.56","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99"
"528","0.79","0.79","0.79","0.92","0.92","0.92","0.98","0.98","0.98","1","1","1","0.63","0.63","0.63","0.99","0.99","0.99","1","1","1","0.97","0.97","0.97"
"534","0.82","0.82","0.82","0.94","0.94","0.94","0.99","0.99","0.99","1","1","1","0.76","0.76","0.76","0.96","0.96","0.96","0.99","0.99","0.99","0.97","0.97","0.97"
"540","0.68","0.68","0.68","0.94","0.94","0.94","0.99","0.99","0.99","0.99","0.99","0.99","0.69","0.69","0.69","0.99","0.99","0.99","1","1","1","1","1","1"
"546","0.81","0.81","0.81","0.98","0.98","0.98","0.99","0.99","0.99","1","1","1","0.69","0.69","0.69","1","1","1","1","1","1","0.99","0.99","0.99"
"552","0.78","0.78","0.78","1","1","1","0.98","0.98","0.98","0.97","0.97","0.97","0.72","0.72","0.72","1","1","1","1","1","1","0.88","0.88","0.88"
"558","0.71","0.71","0.71","0.99","0.99","0.99","0.97","0.97","0.97","1","1","1","0.77","0.77","0.77","1","1","1","1","1","1","0.98","0.98","0.98"
"564","0.77","0.77","0.77","0.98","0.98","0.98","0.99","0.99","0.99","0.99","0.99","0.99","0.69","0.69","0.69","1","1","1","0.98","0.98","0.98","0.95","0.95","0.95"
"570","0.73","0.73","0.73","0.99","0.99","0.99","1","1","1","1","1","1","0.77","0.77","0.77","1","1","1","0.97","0.97","0.97","0.98","0.98","0.98"
"576","0.84","0.84","0.84","0.99","0.99","0.99","0.99","0.99","0.99","0.98","0.98","0.98","0.68","0.68","0.68","1","1","1","0.99","0.99","0.99","0.97","0.97","0.97"
"582","0.77","0.77","0.77","0.98","0.98","0.98","0.96","0.96","0.96","0.99","0.99","0.99","0.8","0.8","0.8","1","1","1","0.95","0.95","0.95","0.92","0.92","0.92"
"588","0.79","0.79","0.79","0.95","0.95","0.95","0.98","0.98","0.98","1","1","1","0.81","0.81","0.81","1","1","1","1","1","1","0.97","0.97","0.97"
"594","0.86","0.86","0.86","0.94","0.94","0.94","0.98","0.98","0.98","0.99","0.99","0.99","0.66","0.66","0.66","1","1","1","0.99","0.99","0.99","0.96","0.96","0.96"
"600","0.91","0.91","0.91","0.99","0.99","0.99","0.96","0.96","0.96","0.99","0.99","0.99","0.77","0.77","0.77","0.99","0.99","0.99","0.99","0.99","0.99","0.94","0.94","0.94"
