"Step","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX"
"96","0.97","0.97","0.97","0.97","0.97","0.97","0.9","0.9","0.9","0.98","0.98","0.98","0.95","0.95","0.95","0.86","0.86","0.86","0.87","0.87","0.87","0.86","0.86","0.86","0.76","0.76","0.76","0.72","0.72","0.72"
"102","0.98","0.98","0.98","0.97","0.97","0.97","0.95","0.95","0.95","0.95","0.95","0.95","0.97","0.97","0.97","0.88","0.88","0.88","0.87","0.87","0.87","0.76","0.76","0.76","0.77","0.77","0.77","0.81","0.81","0.81"
"108","0.99","0.99","0.99","0.93","0.93","0.93","1","1","1","0.98","0.98","0.98","0.92","0.92","0.92","0.91","0.91","0.91","0.9","0.9","0.9","0.81","0.81","0.81","0.75","0.75","0.75","0.76","0.76","0.76"
"114","0.98","0.98","0.98","0.95","0.95","0.95","0.98","0.98","0.98","0.98","0.98","0.98","0.93","0.93","0.93","0.88","0.88","0.88","0.88","0.88","0.88","0.84","0.84","0.84","0.82","0.82","0.82","0.89","0.89","0.89"
"120","0.9","0.9","0.9","1","1","1","0.97","0.97","0.97","1","1","1","0.94","0.94","0.94","0.85","0.85","0.85","0.92","0.92","0.92","0.9","0.9","0.9","0.82","0.82","0.82","0.85","0.85","0.85"
"126","0.99","0.99","0.99","0.98","0.98","0.98","0.94","0.94","0.94","0.98","0.98","0.98","0.99","0.99","0.99","0.93","0.93","0.93","0.87","0.87","0.87","0.85","0.85","0.85","0.88","0.88","0.88","0.89","0.89","0.89"
"132","0.99","0.99","0.99","0.99","0.99","0.99","0.96","0.96","0.96","0.94","0.94","0.94","0.99","0.99","0.99","0.96","0.96","0.96","0.88","0.88","0.88","0.94","0.94","0.94","0.87","0.87","0.87","0.89","0.89","0.89"
"138","1","1","1","0.97","0.97","0.97","0.98","0.98","0.98","0.98","0.98","0.98","0.99","0.99","0.99","0.89","0.89","0.89","0.88","0.88","0.88","0.97","0.97","0.97","0.88","0.88","0.88","0.84","0.84","0.84"
"144","0.99","0.99","0.99","0.98","0.98","0.98","0.95","0.95","0.95","0.96","0.96","0.96","0.99","0.99","0.99","0.9","0.9","0.9","0.91","0.91","0.91","0.93","0.93","0.93","0.85","0.85","0.85","0.9","0.9","0.9"
"150","0.98","0.98","0.98","0.99","0.99","0.99","0.98","0.98","0.98","1","1","1","0.99","0.99","0.99","0.91","0.91","0.91","0.97","0.97","0.97","0.92","0.92","0.92","0.87","0.87","0.87","0.94","0.94","0.94"
"156","0.97","0.97","0.97","0.99","0.99","0.99","0.98","0.98","0.98","1","1","1","0.98","0.98","0.98","0.91","0.91","0.91","0.95","0.95","0.95","0.83","0.83","0.83","0.97","0.97","0.97","0.96","0.96","0.96"
"162","0.93","0.93","0.93","1","1","1","0.95","0.95","0.95","0.99","0.99","0.99","0.99","0.99","0.99","0.89","0.89","0.89","0.96","0.96","0.96","0.9","0.9","0.9","0.94","0.94","0.94","0.96","0.96","0.96"
"168","0.9","0.9","0.9","0.99","0.99","0.99","0.95","0.95","0.95","1","1","1","0.97","0.97","0.97","0.96","0.96","0.96","0.94","0.94","0.94","0.93","0.93","0.93","0.97","0.97","0.97","0.94","0.94","0.94"
"174","0.92","0.92","0.92","0.99","0.99","0.99","0.96","0.96","0.96","0.96","0.96","0.96","0.98","0.98","0.98","0.93","0.93","0.93","0.98","0.98","0.98","0.9","0.9","0.9","0.92","0.92","0.92","0.94","0.94","0.94"
"180","0.95","0.95","0.95","1","1","1","0.99","0.99","0.99","0.95","0.95","0.95","0.99","0.99","0.99","0.93","0.93","0.93","0.97","0.97","0.97","0.89","0.89","0.89","0.94","0.94","0.94","0.97","0.97","0.97"
"186","0.97","0.97","0.97","1","1","1","0.99","0.99","0.99","0.99","0.99","0.99","0.97","0.97","0.97","0.9","0.9","0.9","0.99","0.99","0.99","0.96","0.96","0.96","0.98","0.98","0.98","0.94","0.94","0.94"
"192","0.92","0.92","0.92","0.99","0.99","0.99","0.97","0.97","0.97","0.99","0.99","0.99","0.96","0.96","0.96","0.98","0.98","0.98","0.95","0.95","0.95","0.91","0.91","0.91","0.91","0.91","0.91","0.97","0.97","0.97"
"198","0.95","0.95","0.95","1","1","1","0.97","0.97","0.97","0.96","0.96","0.96","0.94","0.94","0.94","0.92","0.92","0.92","0.96","0.96","0.96","0.98","0.98","0.98","0.9","0.9","0.9","0.95","0.95","0.95"
"204","0.98","0.98","0.98","0.97","0.97","0.97","0.95","0.95","0.95","0.98","0.98","0.98","0.98","0.98","0.98","0.96","0.96","0.96","0.91","0.91","0.91","0.98","0.98","0.98","0.91","0.91","0.91","0.96","0.96","0.96"
"210","0.95","0.95","0.95","1","1","1","0.93","0.93","0.93","0.92","0.92","0.92","0.98","0.98","0.98","0.99","0.99","0.99","0.91","0.91","0.91","0.96","0.96","0.96","0.92","0.92","0.92","0.91","0.91","0.91"
"216","0.99","0.99","0.99","0.98","0.98","0.98","0.92","0.92","0.92","0.94","0.94","0.94","1","1","1","0.97","0.97","0.97","0.96","0.96","0.96","1","1","1","0.9","0.9","0.9","0.89","0.89","0.89"
"222","0.99","0.99","0.99","0.91","0.91","0.91","0.97","0.97","0.97","0.93","0.93","0.93","1","1","1","0.97","0.97","0.97","0.93","0.93","0.93","0.99","0.99","0.99","0.95","0.95","0.95","0.97","0.97","0.97"
"228","0.88","0.88","0.88","0.92","0.92","0.92","0.98","0.98","0.98","0.95","0.95","0.95","0.9","0.9","0.9","0.98","0.98","0.98","0.97","0.97","0.97","0.99","0.99","0.99","0.91","0.91","0.91","0.94","0.94","0.94"
"234","0.95","0.95","0.95","0.96","0.96","0.96","0.96","0.96","0.96","0.95","0.95","0.95","0.99","0.99","0.99","1","1","1","0.97","0.97","0.97","0.99","0.99","0.99","0.9","0.9","0.9","0.96","0.96","0.96"
"240","0.95","0.95","0.95","0.99","0.99","0.99","0.97","0.97","0.97","0.96","0.96","0.96","0.99","0.99","0.99","0.99","0.99","0.99","0.98","0.98","0.98","0.94","0.94","0.94","0.92","0.92","0.92","0.95","0.95","0.95"
"246","0.98","0.98","0.98","0.99","0.99","0.99","1","1","1","0.98","0.98","0.98","0.99","0.99","0.99","1","1","1","0.97","0.97","0.97","1","1","1","0.98","0.98","0.98","0.98","0.98","0.98"
"252","0.97","0.97","0.97","1","1","1","0.99","0.99","0.99","0.97","0.97","0.97","0.98","0.98","0.98","0.96","0.96","0.96","0.99","0.99","0.99","0.94","0.94","0.94","0.97","0.97","0.97","0.94","0.94","0.94"
"258","0.98","0.98","0.98","0.99","0.99","0.99","1","1","1","0.96","0.96","0.96","0.98","0.98","0.98","0.98","0.98","0.98","0.97","0.97","0.97","0.97","0.97","0.97","0.99","0.99","0.99","0.95","0.95","0.95"
"264","0.97","0.97","0.97","0.99","0.99","0.99","0.98","0.98","0.98","0.98","0.98","0.98","0.98","0.98","0.98","0.97","0.97","0.97","0.95","0.95","0.95","0.97","0.97","0.97","0.96","0.96","0.96","0.96","0.96","0.96"
"270","0.98","0.98","0.98","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","1","1","1","0.95","0.95","0.95","0.9","0.9","0.9","0.97","0.97","0.97","0.94","0.94","0.94","0.96","0.96","0.96"
"276","0.94","0.94","0.94","0.99","0.99","0.99","1","1","1","0.96","0.96","0.96","0.99","0.99","0.99","0.97","0.97","0.97","0.9","0.9","0.9","0.96","0.96","0.96","0.97","0.97","0.97","0.95","0.95","0.95"
"282","0.97","0.97","0.97","1","1","1","0.99","0.99","0.99","0.97","0.97","0.97","1","1","1","0.98","0.98","0.98","0.95","0.95","0.95","0.95","0.95","0.95","0.94","0.94","0.94","0.95","0.95","0.95"
"288","0.99","0.99","0.99","0.97","0.97","0.97","0.99","0.99","0.99","0.96","0.96","0.96","1","1","1","0.99","0.99","0.99","0.98","0.98","0.98","0.93","0.93","0.93","0.98","0.98","0.98","0.95","0.95","0.95"
"294","0.99","0.99","0.99","1","1","1","0.99","0.99","0.99","0.98","0.98","0.98","1","1","1","1","1","1","0.99","0.99","0.99","0.96","0.96","0.96","0.95","0.95","0.95","1","1","1"
"300","1","1","1","0.99","0.99","0.99","1","1","1","1","1","1","1","1","1","1","1","1","0.99","0.99","0.99","0.93","0.93","0.93","0.99","0.99","0.99","0.93","0.93","0.93"
"306","0.97","0.97","0.97","0.99","0.99","0.99","0.96","0.96","0.96","0.99","0.99","0.99","1","1","1","1","1","1","0.98","0.98","0.98","0.94","0.94","0.94","0.96","0.96","0.96","0.98","0.98","0.98"
"312","0.98","0.98","0.98","0.99","0.99","0.99","0.96","0.96","0.96","0.97","0.97","0.97","1","1","1","0.99","0.99","0.99","1","1","1","0.93","0.93","0.93","0.97","0.97","0.97","0.96","0.96","0.96"
"318","1","1","1","0.99","0.99","0.99","0.98","0.98","0.98","0.97","0.97","0.97","1","1","1","0.99","0.99","0.99","1","1","1","0.98","0.98","0.98","0.97","0.97","0.97","0.98","0.98","0.98"
"324","1","1","1","0.98","0.98","0.98","0.98","0.98","0.98","0.95","0.95","0.95","1","1","1","1","1","1","0.98","0.98","0.98","0.97","0.97","0.97","0.96","0.96","0.96","0.96","0.96","0.96"
"330","1","1","1","0.95","0.95","0.95","0.99","0.99","0.99","0.93","0.93","0.93","0.99","0.99","0.99","1","1","1","0.96","0.96","0.96","0.95","0.95","0.95","0.96","0.96","0.96","0.96","0.96","0.96"
"336","1","1","1","0.99","0.99","0.99","0.99","0.99","0.99","1","1","1","0.98","0.98","0.98","1","1","1","0.96","0.96","0.96","1","1","1","0.96","0.96","0.96","0.97","0.97","0.97"
"342","1","1","1","1","1","1","0.99","0.99","0.99","1","1","1","0.94","0.94","0.94","0.98","0.98","0.98","0.96","0.96","0.96","0.93","0.93","0.93","0.97","0.97","0.97","0.94","0.94","0.94"
"348","1","1","1","0.99","0.99","0.99","0.98","0.98","0.98","0.96","0.96","0.96","0.98","0.98","0.98","0.96","0.96","0.96","0.98","0.98","0.98","0.97","0.97","0.97","0.91","0.91","0.91","0.98","0.98","0.98"
"354","1","1","1","0.98","0.98","0.98","1","1","1","1","1","1","0.97","0.97","0.97","0.96","0.96","0.96","0.95","0.95","0.95","0.95","0.95","0.95","0.93","0.93","0.93","0.98","0.98","0.98"
"360","1","1","1","1","1","1","0.99","0.99","0.99","0.94","0.94","0.94","0.98","0.98","0.98","0.96","0.96","0.96","0.95","0.95","0.95","0.98","0.98","0.98","0.97","0.97","0.97","0.98","0.98","0.98"
"366","1","1","1","0.95","0.95","0.95","1","1","1","0.97","0.97","0.97","0.93","0.93","0.93","0.94","0.94","0.94","0.93","0.93","0.93","0.96","0.96","0.96","0.96","0.96","0.96","0.92","0.92","0.92"
"372","1","1","1","0.97","0.97","0.97","1","1","1","0.89","0.89","0.89","0.93","0.93","0.93","0.93","0.93","0.93","0.98","0.98","0.98","0.96","0.96","0.96","0.99","0.99","0.99","0.99","0.99","0.99"
"378","1","1","1","0.96","0.96","0.96","0.97","0.97","0.97","0.96","0.96","0.96","0.93","0.93","0.93","0.99","0.99","0.99","0.93","0.93","0.93","0.95","0.95","0.95","1","1","1","0.99","0.99","0.99"
"384","0.99","0.99","0.99","0.96","0.96","0.96","0.98","0.98","0.98","0.99","0.99","0.99","0.97","0.97","0.97","0.97","0.97","0.97","0.96","0.96","0.96","0.98","0.98","0.98","1","1","1","0.97","0.97","0.97"
"390","1","1","1","0.98","0.98","0.98","0.92","0.92","0.92","0.93","0.93","0.93","0.92","0.92","0.92","0.96","0.96","0.96","0.99","0.99","0.99","1","1","1","1","1","1","0.98","0.98","0.98"
"396","1","1","1","0.98","0.98","0.98","0.98","0.98","0.98","0.99","0.99","0.99","0.95","0.95","0.95","0.93","0.93","0.93","1","1","1","0.97","0.97","0.97","1","1","1","0.95","0.95","0.95"
"402","0.96","0.96","0.96","0.99","0.99","0.99","0.94","0.94","0.94","1","1","1","0.97","0.97","0.97","0.96","0.96","0.96","0.99","0.99","0.99","0.99","0.99","0.99","1","1","1","0.94","0.94","0.94"
"408","0.98","0.98","0.98","0.97","0.97","0.97","0.96","0.96","0.96","1","1","1","1","1","1","0.97","0.97","0.97","0.95","0.95","0.95","0.94","0.94","0.94","0.97","0.97","0.97","1","1","1"
"414","0.97","0.97","0.97","0.98","0.98","0.98","0.97","0.97","0.97","1","1","1","0.99","0.99","0.99","0.98","0.98","0.98","0.99","0.99","0.99","0.92","0.92","0.92","0.99","0.99","0.99","0.99","0.99","0.99"
"420","0.97","0.97","0.97","0.99","0.99","0.99","0.97","0.97","0.97","1","1","1","0.99","0.99","0.99","0.98","0.98","0.98","0.97","0.97","0.97","0.97","0.97","0.97","1","1","1","0.95","0.95","0.95"
"426","0.94","0.94","0.94","0.99","0.99","0.99","0.99","0.99","0.99","1","1","1","0.98","0.98","0.98","0.99","0.99","0.99","0.98","0.98","0.98","0.98","0.98","0.98","1","1","1","0.97","0.97","0.97"
"432","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","1","1","1","0.97","0.97","0.97","0.98","0.98","0.98","0.99","0.99","0.99","0.98","0.98","0.98","1","1","1","1","1","1"
"438","0.98","0.98","0.98","0.97","0.97","0.97","1","1","1","1","1","1","1","1","1","0.99","0.99","0.99","0.97","0.97","0.97","0.96","0.96","0.96","1","1","1","1","1","1"
"444","0.97","0.97","0.97","0.94","0.94","0.94","0.99","0.99","0.99","1","1","1","1","1","1","0.99","0.99","0.99","1","1","1","0.93","0.93","0.93","0.98","0.98","0.98","0.98","0.98","0.98"
"450","0.94","0.94","0.94","0.96","0.96","0.96","0.99","0.99","0.99","1","1","1","1","1","1","1","1","1","0.97","0.97","0.97","0.95","0.95","0.95","1","1","1","0.96","0.96","0.96"
"456","0.99","0.99","0.99","0.94","0.94","0.94","0.99","0.99","0.99","1","1","1","1","1","1","1","1","1","0.98","0.98","0.98","0.99","0.99","0.99","1","1","1","1","1","1"
"462","0.99","0.99","0.99","0.96","0.96","0.96","0.97","0.97","0.97","1","1","1","1","1","1","1","1","1","0.99","0.99","0.99","0.94","0.94","0.94","0.99","0.99","0.99","1","1","1"
"468","0.99","0.99","0.99","0.82","0.82","0.82","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.99","0.99","0.99","1","1","1"
"474","1","1","1","0.96","0.96","0.96","1","1","1","1","1","1","0.99","0.99","0.99","0.99","0.99","0.99","1","1","1","0.97","0.97","0.97","1","1","1","1","1","1"
"480","1","1","1","0.99","0.99","0.99","1","1","1","1","1","1","0.99","0.99","0.99","0.98","0.98","0.98","0.98","0.98","0.98","0.99","0.99","0.99","0.98","0.98","0.98","1","1","1"
"486","0.99","0.99","0.99","0.99","0.99","0.99","1","1","1","1","1","1","0.98","0.98","0.98","1","1","1","1","1","1","0.98","0.98","0.98","0.97","0.97","0.97","1","1","1"
"492","0.99","0.99","0.99","0.98","0.98","0.98","1","1","1","1","1","1","1","1","1","1","1","1","0.99","0.99","0.99","0.99","0.99","0.99","1","1","1","1","1","1"
"498","0.97","0.97","0.97","0.95","0.95","0.95","1","1","1","1","1","1","0.98","0.98","0.98","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"504","0.97","0.97","0.97","0.96","0.96","0.96","1","1","1","1","1","1","0.97","0.97","0.97","0.98","0.98","0.98","0.97","0.97","0.97","0.99","0.99","0.99","1","1","1","1","1","1"
"510","0.95","0.95","0.95","0.99","0.99","0.99","0.97","0.97","0.97","1","1","1","0.97","0.97","0.97","0.99","0.99","0.99","0.97","0.97","0.97","0.96","0.96","0.96","1","1","1","1","1","1"
"516","0.98","0.98","0.98","0.97","0.97","0.97","0.98","0.98","0.98","1","1","1","0.99","0.99","0.99","0.95","0.95","0.95","0.99","0.99","0.99","0.99","0.99","0.99","1","1","1","1","1","1"
"522","0.99","0.99","0.99","0.98","0.98","0.98","0.99","0.99","0.99","1","1","1","1","1","1","0.97","0.97","0.97","0.96","0.96","0.96","1","1","1","1","1","1","1","1","1"
"528","0.96","0.96","0.96","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"534","1","1","1","1","1","1","1","1","1","1","1","1","0.99","0.99","0.99","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
